;link
38;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.html/newsletter/
39;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.html/send/10227368/
40;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.html/submit/
41;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlAMADOU-BA-LORS-DE-LA-REUNION-AVEC-LES-PTF-Nous-allons-vers-une-consultation-plus-reguliere-de-l-IGE-Une-publication_a119972.html
42;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlAliou-Sall-demissionne-de-Petro-Tim-Senegal-Frank-Timis-le-propulse-Directeur-Marketing-Afrique-de-Timis-Group_a119872.html
43;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlApres-avoir-demissionne-Aliou-Sall-remercie-ceux-qui-l-ont-Soutenu_a119875.html
44;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlBOKO-HARAM-Temoignages-des-lyceennes-de-Chibok-liberees-apres-2-ans-de-detention_a120095.html
45;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlCheikh-Tidiane-Gomis-Certains-presidents-de-federations-sont-incapables_a120066.html
46;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlCommunique-Conseil-des-Ministres-du-jeudi-13-Octobre-2016_a119871.html
47;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlEDITO-Pourquoi-Dakaractu-n-a-pas-diffuse-les-images-des-obseques-de-Deguene-Chimere_a119869.html
48;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlEmission-Ngonal-avec-Aly-Ngouille-N-diaye_a120004.html
49;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlEmission-Pile-ou-Face-avec-Mamadou-Lamine-Diallo_a119913.html
50;http://www.dakaractu.com/SCANDALE-AU-MARCHE-CASTORS-Des-vendeurs-lavent-leurs-legumes-dans-l-eau-de-la-pluie_a118306.htmlGuy-Marius-Sagna-arrete_a119947.html
